,VIN_110,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Clean_Alternative_Fuel_Vehicle_CAFV_Eligibility,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Electric_Utility,2020_Census_Tract,Latitude,Longitude
10994,1G1FW6S05N,COWLITZ,CASTLE ROCK,WA,98611,2022,CHEVROLET,BOLT EV,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,19,269360297,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,53015002001.00,46.27509,-122.90724
10995,7SAXCDE58R,KING,BELLEVUE,WA,98004,2024,TESLA,MODEL X,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,48,274863326,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024001.00,47.61001,-122.18720
10998,1C4RJYC66N,KING,SEATTLE,WA,98112,2022,JEEP,GRAND CHEROKEE,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,25,0,43,236319534,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400.00,47.64085,-122.30207
11002,2C4RC1N78N,KITSAP,SILVERDALE,WA,98383,2022,CHRYSLER,PACIFICA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,23,235129107,PUGET SOUND ENERGY INC,53035090400.00,47.65171,-122.69275
11010,JTMFB3FV4R,CLARK,VANCOUVER,WA,98683,2024,TOYOTA,RAV4 PRIME,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,18,272135461,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041329.00,45.60365,-122.49212
11011,ZFAFFAC40R,KING,BURIEN,WA,98146,2024,FIAT,500E,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,34,277888404,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700.00,47.49408,-122.36178
11013,KNDJP3AE3J,KING,KIRKLAND,WA,98034,2018,KIA,SOUL,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,111,33950,1,349113390,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022205.00,47.72201,-122.22901
11020,1FT6W1EV2N,KING,SEATTLE,WA,98133,2022,FORD,F-150,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,32,273671807,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001300.00,47.71871,-122.35029
11023,1FTVW1EV0P,KING,KIRKLAND,WA,98033,2023,FORD,F-150,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,48,258881276,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501.00,47.67887,-122.20660
11035,YV4BR0DKXM,KITSAP,BAINBRIDGE ISLAND,WA,98110,2021,VOLVO,XC60,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,18,0,23,137091349,PUGET SOUND ENERGY INC,53035090800.00,47.62728,-122.52100
